Scenario	TimeScale	Month	EndUse	Metric	Value	Unit
Passive Building	Monthly	Jan	Equip	Energy	74539.29087	kWh
Passive Building	Monthly	Feb	Equip	Energy	67562.70699	kWh
Passive Building	Monthly	Mar	Equip	Energy	76375.23399	kWh
Passive Building	Monthly	Apr	Equip	Energy	69765.83874	kWh
Passive Building	Monthly	May	Equip	Energy	76375.23399	kWh
Passive Building	Monthly	Jun	Equip	Energy	73437.72499	kWh
Passive Building	Monthly	Jul	Equip	Energy	72703.34774	kWh
Passive Building	Monthly	Aug	Equip	Energy	76375.23399	kWh
Passive Building	Monthly	Sept	Equip	Energy	71601.78187	kWh
Passive Building	Monthly	Oct	Equip	Energy	74539.29087	kWh
Passive Building	Monthly	Nov	Equip	Energy	73437.72499	kWh
Passive Building	Monthly	Dec	Equip	Energy	72703.34774	kWh
Passive Building	Monthly	Jan	Fans	Energy	2303.753207	kWh
Passive Building	Monthly	Feb	Fans	Energy	1560.787007	kWh
Passive Building	Monthly	Mar	Fans	Energy	1067.832537	kWh
Passive Building	Monthly	Apr	Fans	Energy	462.6244112	kWh
Passive Building	Monthly	May	Fans	Energy	375.2439283	kWh
Passive Building	Monthly	Jun	Fans	Energy	523.0059331	kWh
Passive Building	Monthly	Jul	Fans	Energy	834.2652901	kWh
Passive Building	Monthly	Aug	Fans	Energy	527.013356	kWh
Passive Building	Monthly	Sept	Fans	Energy	547.6215038	kWh
Passive Building	Monthly	Oct	Fans	Energy	505.1353352	kWh
Passive Building	Monthly	Nov	Fans	Energy	1280.031638	kWh
Passive Building	Monthly	Dec	Fans	Energy	2038.349418	kWh
Passive Building	Monthly	Jan	Light	Energy	137324.879	kWh
Passive Building	Monthly	Feb	Light	Energy	122934.593	kWh
Passive Building	Monthly	Mar	Light	Energy	137324.879	kWh
Passive Building	Monthly	Apr	Light	Energy	129684.4313	kWh
Passive Building	Monthly	May	Light	Energy	137324.879	kWh
Passive Building	Monthly	Jun	Light	Energy	132528.117	kWh
Passive Building	Monthly	Jul	Light	Energy	82044.65185	kWh
Passive Building	Monthly	Aug	Light	Energy	82871.54749	kWh
Passive Building	Monthly	Sept	Light	Energy	129684.4313	kWh
Passive Building	Monthly	Oct	Light	Energy	137324.879	kWh
Passive Building	Monthly	Nov	Light	Energy	132528.117	kWh
Passive Building	Monthly	Dec	Light	Energy	134481.1933	kWh
Passive Building	Monthly	Jan	HotWater	Energy	73819.20626	kWh
Passive Building	Monthly	Feb	HotWater	Energy	66083.68523	kWh
Passive Building	Monthly	Mar	HotWater	Energy	73819.20626	kWh
Passive Building	Monthly	Apr	HotWater	Energy	69712.0715	kWh
Passive Building	Monthly	May	HotWater	Energy	73819.20626	kWh
Passive Building	Monthly	Jun	HotWater	Energy	71240.69925	kWh
Passive Building	Monthly	Jul	HotWater	Energy	44120.55699	kWh
Passive Building	Monthly	Aug	HotWater	Energy	44565.72237	kWh
Passive Building	Monthly	Sept	HotWater	Energy	69712.0715	kWh
Passive Building	Monthly	Oct	HotWater	Energy	73819.20626	kWh
Passive Building	Monthly	Nov	HotWater	Energy	71240.69925	kWh
Passive Building	Monthly	Dec	HotWater	Energy	72290.5785	kWh
Passive Building	Monthly	Jan	Heat	Energy	1238047.61	kWh
Passive Building	Monthly	Feb	Heat	Energy	856332.5143	kWh
Passive Building	Monthly	Mar	Heat	Energy	589935.8933	kWh
Passive Building	Monthly	Apr	Heat	Energy	192749.9162	kWh
Passive Building	Monthly	May	Heat	Energy	44606.16369	kWh
Passive Building	Monthly	Jun	Heat	Energy	321.4598499	kWh
Passive Building	Monthly	Jul	Heat	Energy	0	kWh
Passive Building	Monthly	Aug	Heat	Energy	1238.689135	kWh
Passive Building	Monthly	Sept	Heat	Energy	9207.839819	kWh
Passive Building	Monthly	Oct	Heat	Energy	211022.0343	kWh
Passive Building	Monthly	Nov	Heat	Energy	683656.0797	kWh
Passive Building	Monthly	Dec	Heat	Energy	1063482.785	kWh
Passive Building	Monthly	Jan	Cool	Energy	233.3028997	kWh
Passive Building	Monthly	Feb	Cool	Energy	8.101185392	kWh
Passive Building	Monthly	Mar	Cool	Energy	109.613555	kWh
Passive Building	Monthly	Apr	Cool	Energy	6389.325942	kWh
Passive Building	Monthly	May	Cool	Energy	30981.52085	kWh
Passive Building	Monthly	Jun	Cool	Energy	91176.10561	kWh
Passive Building	Monthly	Jul	Cool	Energy	176355.7172	kWh
Passive Building	Monthly	Aug	Cool	Energy	108400.6775	kWh
Passive Building	Monthly	Sept	Cool	Energy	87883.44728	kWh
Passive Building	Monthly	Oct	Cool	Energy	4009.783213	kWh
Passive Building	Monthly	Nov	Cool	Energy	371.4727303	kWh
Passive Building	Monthly	Dec	Cool	Energy	846.9168373	kWh
Passive Building	Annual		Total	Energy	8589108.898	kWh
Passive Building	Annual		Total	Operational_CO2	3889336.292	kgCO2e
Passive Building	Annual		Embodied	Embodied_CO2	6753914.371	kgCO2e
Passive Building	Annual		Total	Total_CO2	10643250.66	kgCO2e
Passive Building	Annual		Equip	Operational_CO2	398219.1341	kgCO2e
Passive Building	Annual		Fans	Operational_CO2	5445.483379	kgCO2e
Passive Building	Annual		Light	Operational_CO2	677447.1359	kgCO2e
Passive Building	Annual		HotWater	Operational_CO2	364178.7726	kgCO2e
Passive Building	Annual		Heat	Operational_CO2	2214571.049	kgCO2e
Passive Building	Annual		Cool	Operational_CO2	229474.7173	kgCO2e
